Date,Forecast,Lower CI,Upper CI
2021-12-31,235.2960914344793,215.35342896090782,255.2387539080508
2022-01-01,233.62338402417979,213.676199653325,253.57056839503457
2022-01-02,225.41793853299507,205.47059115415544,245.3652859118347
2022-01-03,235.27464177927462,215.3272065891732,255.22207696937605
2022-01-04,234.07837634923285,214.13084847991433,254.02590421855137
2022-01-05,234.65492149397008,214.7072980602962,254.60254492764395
2022-01-06,240.25645703241958,220.30873506997173,260.2041789948674
2022-01-07,244.20365031766556,224.25582683551045,264.1514737998207
2022-01-08,254.77727018412546,234.82934219335584,274.72519817489507
2022-01-09,260.5774826908952,240.6294450181705,280.5255203636199
2022-01-10,266.54346620145975,246.59532601493615,286.4916063879833
2022-01-11,272.6168606929259,252.6801056218023,292.55361576404954
2022-01-12,275.34551688689095,255.40882584621224,295.28220792756963
2022-01-13,284.46638996958484,264.5296661412227,304.40311379794696
2022-01-14,286.4623931904479,266.5256356481058,306.3991507327901
2022-01-15,289.1142407239722,269.1774463279875,309.0510351199569
2022-01-16,293.77533689601694,273.8385026089208,313.71217118311307
2022-01-17,293.94024450252533,274.00336732207427,313.8771216829764
2022-01-18,296.57694660533224,276.6400235612144,316.5138696494501
2022-01-19,293.9795643215559,274.0425924706086,313.91653617250324
2022-01-20,290.2165831954579,270.27955961711365,310.1536067738021
2022-01-21,290.78149916006623,270.84442095197113,310.71857736816133
2022-01-22,288.5807248460465,268.64358911984164,308.5178605722514
2022-01-23,281.679977582938,261.7427814601956,301.61717370568044
2022-01-24,275.7381052845527,255.8008458928576,295.6753646762478
2022-01-25,267.5592631557969,247.62193762496673,287.49658868662704
2022-01-26,261.1483035738627,241.2109090322994,281.08569811542594
2022-01-27,254.7387440955895,234.80127766675474,274.6762105244243
2022-01-28,252.1356479470152,232.19810674613865,272.07318914789175
2022-01-29,241.2704745705162,221.33285569296564,261.2080934480668
